,YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
42,2025-04,WEEKDAY,17,TRAIN,NS18,24012,22877
43,2025-04,WEEKENDS/HOLIDAY,7,TRAIN,CC27,318,1262
44,2025-04,WEEKDAY,7,TRAIN,EW17,53998,26359
45,2025-04,WEEKDAY,7,TRAIN,TE4,10417,16274
46,2025-04,WEEKENDS/HOLIDAY,7,TRAIN,CC11,4055,6465
47,2025-04,WEEKDAY,18,TRAIN,EW14/NS26,368910,47455
48,2025-04,WEEKENDS/HOLIDAY,22,TRAIN,PE6,988,1996
49,2025-04,WEEKENDS/HOLIDAY,12,TRAIN,PW7,1851,1549
50,2025-04,WEEKENDS/HOLIDAY,11,TRAIN,CG1/DT35,3190,9428
51,2025-04,WEEKENDS/HOLIDAY,23,TRAIN,EW28,1079,7372
52,2025-04,WEEKDAY,18,TRAIN,NS8,32824,59526
53,2025-04,WEEKENDS/HOLIDAY,23,TRAIN,TE28,231,659
54,2025-04,WEEKDAY,9,TRAIN,BP11,5839,1714
55,2025-04,WEEKDAY,19,TRAIN,SE5,2411,6211
56,2025-04,WEEKDAY,18,TRAIN,NS23,75777,85371
57,2025-04,WEEKDAY,0,TRAIN,CC23,51,186
58,2025-04,WEEKENDS/HOLIDAY,14,TRAIN,CG1/DT35,8415,9108
59,2025-04,WEEKDAY,0,TRAIN,CC8,96,473
60,2025-04,WEEKENDS/HOLIDAY,9,TRAIN,TE27,3355,1472
61,2025-04,WEEKDAY,19,TRAIN,NS9/TE2,61491,157558
62,2025-04,WEEKENDS/HOLIDAY,19,TRAIN,NE11,6985,7793
63,2025-04,WEEKDAY,20,TRAIN,CE1/DT16,78153,28266
64,2025-04,WEEKENDS/HOLIDAY,12,TRAIN,CC25,3848,2163
65,2025-04,WEEKENDS/HOLIDAY,5,TRAIN,DT3,132,6
66,2025-04,WEEKENDS/HOLIDAY,15,TRAIN,PE7,1648,2357
67,2025-04,WEEKENDS/HOLIDAY,17,TRAIN,BP6/DT1,18159,22730
68,2025-04,WEEKDAY,8,TRAIN,TE23,7680,1988
69,2025-04,WEEKENDS/HOLIDAY,17,TRAIN,EW20,6570,5575
70,2025-04,WEEKDAY,21,TRAIN,TE11,2301,4311
71,2025-04,WEEKDAY,18,TRAIN,DT2,9164,6512
72,2025-04,WEEKDAY,22,TRAIN,NS3,6675,18699
73,2025-04,WEEKENDS/HOLIDAY,20,TRAIN,TE14/NS22,46049,15720
74,2025-04,WEEKENDS/HOLIDAY,20,TRAIN,NE13,6962,10157
75,2025-04,WEEKENDS/HOLIDAY,12,TRAIN,BP12,1873,970
76,2025-04,WEEKDAY,13,TRAIN,DT3,5834,4884
77,2025-04,WEEKENDS/HOLIDAY,18,TRAIN,EW31,2569,2053
78,2025-04,WEEKDAY,20,TRAIN,EW9,17066,37027
79,2025-04,WEEKDAY,17,TRAIN,SE3,2789,5617
80,2025-04,WEEKENDS/HOLIDAY,8,TRAIN,EW15,2627,9170
81,2025-04,WEEKENDS/HOLIDAY,15,TRAIN,TE24,1159,1479
82,2025-04,WEEKENDS/HOLIDAY,23,TRAIN,SW6,148,888
83,2025-04,WEEKDAY,0,TRAIN,PW3,8,152
84,2025-04,WEEKENDS/HOLIDAY,20,TRAIN,EW10,5038,7259
85,2025-04,WEEKENDS/HOLIDAY,13,TRAIN,NS23,16484,27111
86,2025-04,WEEKENDS/HOLIDAY,17,TRAIN,NS28,3683,1527
87,2025-04,WEEKDAY,21,TRAIN,NS20,44530,12017
88,2025-04,WEEKENDS/HOLIDAY,19,TRAIN,EW14/NS26,10258,8889
89,2025-04,WEEKDAY,7,TRAIN,TE28,9982,5600
90,2025-04,WEEKDAY,18,TRAIN,BP6/DT1,67113,148638
91,2025-04,WEEKENDS/HOLIDAY,7,TRAIN,PE7,1418,289
92,2025-04,WEEKENDS/HOLIDAY,21,TRAIN,NS21/DT11,19713,22295
93,2025-04,WEEKENDS/HOLIDAY,15,TRAIN,BP13,567,587
94,2025-04,WEEKDAY,21,TRAIN,CC6,15072,2101
95,2025-04,WEEKDAY,19,TRAIN,TE26,16320,19177
96,2025-04,WEEKDAY,18,TRAIN,TE5,11659,16637
97,2025-04,WEEKDAY,21,TRAIN,NE13,17638,26514
98,2025-04,WEEKDAY,17,TRAIN,TE5,7792,9380
99,2025-04,WEEKDAY,0,TRAIN,NE9,172,768
100,2025-04,WEEKENDS/HOLIDAY,18,TRAIN,CC3,8517,5132
101,2025-04,WEEKENDS/HOLIDAY,5,TRAIN,TE24,23,2
102,2025-04,WEEKENDS/HOLIDAY,0,TRAIN,TE12,5,38
103,2025-04,WEEKDAY,13,TRAIN,SW2,6312,5250
104,2025-04,WEEKDAY,21,TRAIN,CC3,15576,2363
105,2025-04,WEEKDAY,17,TRAIN,PE7,4740,7712
106,2025-04,WEEKENDS/HOLIDAY,6,TRAIN,NS21/DT11,6095,6731
107,2025-04,WEEKENDS/HOLIDAY,7,TRAIN,CC8,2392,2254
108,2025-04,WEEKENDS/HOLIDAY,19,TRAIN,NE18,6154,5039
109,2025-04,WEEKDAY,18,TRAIN,CC27,65205,4065
110,2025-04,WEEKDAY,21,TRAIN,DT23,3986,3746
111,2025-04,WEEKDAY,14,TRAIN,NE13,21216,22336
112,2025-04,WEEKENDS/HOLIDAY,6,TRAIN,NS7,15637,7981
113,2025-04,WEEKDAY,22,TRAIN,SE3,597,4137
114,2025-04,WEEKENDS/HOLIDAY,10,TRAIN,NS9/TE2,23923,22419
115,2025-04,WEEKDAY,8,TRAIN,DT7,9249,16534
116,2025-04,WEEKENDS/HOLIDAY,16,TRAIN,NE7/DT12,19088,20484
117,2025-04,WEEKDAY,9,TRAIN,SW2,5713,3484
118,2025-04,WEEKDAY,11,TRAIN,EW31,1753,909
119,2025-04,WEEKENDS/HOLIDAY,10,TRAIN,DT28,5408,1975
120,2025-04,WEEKDAY,16,TRAIN,TE19,16034,3647
121,2025-04,WEEKDAY,18,TRAIN,PW6,2037,5225
122,2025-04,WEEKDAY,17,TRAIN,TE12,15903,4113
123,2025-04,WEEKDAY,14,TRAIN,TE26,12283,14377
124,2025-04,WEEKENDS/HOLIDAY,15,TRAIN,NE7/DT12,18028,17921
125,2025-04,WEEKDAY,20,TRAIN,DT10,2407,3440
126,2025-04,WEEKDAY,8,TRAIN,EW31,3313,22232
127,2025-04,WEEKDAY,21,TRAIN,NS7,20485,40540
128,2025-04,WEEKENDS/HOLIDAY,7,TRAIN,CC16,1945,3026
129,2025-04,WEEKENDS/HOLIDAY,12,TRAIN,EW27,23696,20581
130,2025-04,WEEKENDS/HOLIDAY,16,TRAIN,EW22,2601,2637
131,2025-04,WEEKDAY,13,TRAIN,EW1,23924,21272
132,2025-04,WEEKDAY,6,TRAIN,DT21,1304,2715
133,2025-04,WEEKENDS/HOLIDAY,12,TRAIN,PE5,3460,2220
134,2025-04,WEEKENDS/HOLIDAY,0,TRAIN,NE4/DT19,153,419
135,2025-04,WEEKENDS/HOLIDAY,11,TRAIN,BP9,2157,1169
136,2025-04,WEEKENDS/HOLIDAY,11,TRAIN,DT33,8587,3139
137,2025-04,WEEKDAY,10,TRAIN,PE5,6041,1913
138,2025-04,WEEKDAY,9,TRAIN,DT8,5329,3288
