,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,
Subject: International Investment Position (IIP),,,,,,,,,,,,,,,,,,,,,,,,
"Topic: Singapore's Portfolio Investment Assets",,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore's Portfolio Investment Assets By Destination Economy And Instrument, (End Of Period), Annual",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 18/07/2025,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
    United Kingdom,77867.7,71634.3,67980.2,78575.1,69726.1,63147.3,52081.4,56781.3,53933.2,49363.9,56385,52262.5,53675.9,51590.7,72178.9,80748,73289,98434.1,78958.8,67262.9,60092.8,50253.2,36245.6,30512.3
  North America,1003910.5,802551.3,728410.5,759381.7,607719.2,566526,481931.5,490381,488123.1,444159.6,372698.9,319134.8,na,na,na,na,114919.2,158191.6,124666.1,118167.3,113952.1,113659.5,61450.6,45906.7
    Canada,36893,35281.5,31851.9,32064.6,30141.5,26678.2,21423.7,27474.9,30585.7,22877.3,18701.1,15965.9,na,na,na,na,4660.7,7292.9,5810.1,5191.1,4383.1,5943.3,3947.4,3384.7
    United States Of America,959437.8,759514.1,688559.1,720760.9,571555.6,534397.1,456829.2,461640.6,457531.5,421282.3,353997.8,303168.9,243940.7,212631.6,171255.5,133520.7,110237.7,150300.2,118639.8,112622.9,108109.4,106957.2,57427.2,42522
  Oceania,85281.6,85171.9,69965.5,64895.5,59725.2,48473,37971.2,42408,43566.1,32531.3,38137.4,39500.4,35680.8,35152.3,36485,40115.4,30019.9,47218.2,34544.1,29101.9,23697.3,20024,16589,13864.4
    Australia,80064.1,78762.3,65099.9,61080.8,56933,45164.2,36781.3,41281.4,42403.6,31444.7,36839.3,38690.8,33672.8,32100.6,34988.9,38624.7,29058.5,46005.7,33201.7,28177.3,23031.2,18637.4,14077.4,11606.5
    New Zealand,5051.6,6348.1,na,na,2671.8,3159,na,na,na,981,1179.1,702.1,na,2856.3,1228.8,1408.7,828,1148,1312.2,898.3,665.4,1383.3,2485.7,2231.8
  South And Central America And The Caribbean,169521.2,175290.5,160587,153773,157466.5,144349.6,125314.4,116640.2,95988.4,77726.7,68228.2,60176,53485.7,61617.6,36748.9,27941.9,20754,29200,23399.2,16857,15684.6,12258.6,7350.9,9360.7
    Bermuda,na,na,14906,14637.8,na,na,9308.5,na,10730.8,11794.9,10416.4,10644.2,11516.1,7689.2,9099.7,9296.9,5746.7,10626.7,7584.6,5884.8,6495.6,5275.1,3234.7,3553.7
    British Virgin Islands,21950.3,11871.4,13563.7,19810.7,24209.1,19995,22413.7,17930.5,11820.6,10086.7,6703,4194.5,2241.9,na,1490.6,1015,1010.8,1077.4,1050.6,1020.1,1063.6,993.4,538.6,406.4
